word	n
a	824912
v	790766
je	639788
sa	635631
na	466848
to	365449
si	216814
s	203466
ako	192420
z	189312
že	188967
som	183435
do	170749
čo	148524
roku	142781
nie	123742
V	120368
bol	120293
aj	117188
o	116456
ale	101710
obyvateľov	99019
tak	92664
tu	89824
sú	86488
za	82953
má	81441
pre	80870
od	78634
by	77685
bod	74845
ktorá	72232
po	71946
alebo	70664
k	66570
jeho	66222
už	65252
bola	63649
mi	58839
vo	58807
len	58639
ktorý	58633
ho	57128
ktoré	56247
obec	54802
ja	54780
ich	50813
byť	50613
keď	50504
nachádza	50188
aby	49597
sme	49144
obci	47995
bolo	47263
pri	46945
boli	46342
áno	44950
obce	44612
kde	44055
rozlohu	43864
ste	43549
ma	43147
až	42460
regióne	38139
Obyvateľstvo	38126
ty	37893
francúzska	37172
Najvyšší	37009
jej	36891
Poloha	36872
položený	36791
departemente	36772
najnižší	36668
Obec	36635
so	36273
vývoj	36152
dobre	35960
však	35903
Počet	35682
počtu	35641
ti	34775
zobrazuje	34255
Nasledujúci	34042
graf	33939
ak	33055
no	31882
tam	31796
toho	31680
môže	31071
pred	30785
zo	30734
Na	30589
ťa	30018
medzi	29684
veľmi	29600
toto	29190
ju	28824
ešte	28681
tiež	28205
teraz	27249
niečo	27034
tom	26837
rokov	26258
hej	26097
pod	26039
bude	25698
prečo	25627
mal	25210
mu	24775
potom	24430
mám	24293
Po	23610
rokoch	23495
NGC	23266
ktorú	22950
i	22939
ten	22696
podľa	22335
viac	21740
všetko	21293
tým	21182
roka	21166
Je	21147
ani	20919
či	20795
iba	20129
nič	20043
neskôr	19525
vás	19467
kto	19017
de	18958
mesto	18796
možno	18618
pretože	18348
vám	18294
storočia	18282
nikdy	17642
takže	17622
asi	17492
máš	17259
m	17237
môj	16947
nad	16776
časti	16756
dnes	16579
tejto	16417
okrese	16335
jeden	16284
prosím	16194
vieš	15790
nás	15573
myslím	15539
poriadku	15522
mňa	15493
počas	15329
bez	15277
mali	15139
stále	15004
teda	14902
mesta	14837
u	14693
preto	14625
tomu	14592
proti	14465
objavil	14460
mala	14401
viem	14377
svoje	13943
Od	13914
spolu	13873
stal	13805
tento	13635
km	13634
časť	13501
pričom	13472
okolo	13451
Jeho	13438
chcem	13435
povedal	13385
on	13142
ďakujem	13112
majú	13075
oblasti	13072
cez	13025
všetky	12904
ktorej	12898
Slovensku	12563
neviem	12519
I	12508
ktorí	12391
oh	12340
ísť	12334
najmä	12312
svoju	12264
vy	12159
miesto	12144
práve	12125
teba	12086
Jej	12049
svojej	12033
chceš	12029
kedy	12022
nich	11947
tie	11930
ľudí	11914
ktorých	11852
tomto	11731
januára	11711
pozri	11702
dva	11666
sem	11576
všetkých	11503
Saint	11397
nám	11319
čas	11314
prvý	11205
svojho	11166
deň	11149
mužov	11095
tri	11083
život	10998
pane	10994
Z	10970
ahoj	10966
skupiny	10966
naozaj	10930
vždy	10889
pán	10865
dve	10767
napr	10753
veľa	10652
máme	10644
povedať	10640
sveta	10617
napríklad	10555
niekoľko	10506
mať	10497
vďaka	10438
tohto	10365
ide	10265
otec	10158
stalo	10109
im	10063
všetci	10057
ktorého	10046
vojny	9980
poďme	9928
moja	9925
svoj	9888
poď	9830
tzv	9787
kvôli	9747
mohol	9732
ktorom	9695
často	9687
musím	9668
tieto	9587
A	9568
dvoch	9536
ženy	9451
žije	9414
môžem	9412
ľudia	9385
začal	9331
Má	9324
II	9302
než	9301
ok	9298
týchto	9201
meste	9167
meno	9108
keby	8984
budem	8970
žien	8885
niekto	8870
súhvezdí	8862
rád	8853
Kr	8844
ku	8836
Počas	8761
iné	8754
nej	8753
približne	8722
hlavne	8704
domov	8688
dostal	8688
čase	8677
myslíš	8657
Zoznam	8653
života	8619
chcel	8599
tú	8517
my	8490
súčasnosti	8490
Podľa	8467
USA	8465
ďalej	8424
každý	8421
niekedy	8390
veľkosť	8378
moje	8366
ním	8332
The	8325
svojich	8308
nemôžem	8293
tá	8114
bože	8089
získal	8080
druhej	8064
raz	8031
S	8026
dobrý	8017
presne	7990
jasné	7956
lebo	7956
of	7895
neho	7874
trochu	7871
Bol	7860
muži	7786
rok	7765
kým	7746
okres	7707
možné	7692
tvoj	7679
máte	7674
Tento	7671
Pri	7665
veci	7658
období	7622
dosť	7600
úplne	7583
musí	7540
späť	7527
roky	7473
tej	7471
dobré	7447
môžu	7446
ďalšie	7396
patrí	7384
smrti	7383
sám	7383
názov	7381
kraji	7341
okrem	7322
mohli	7298
n	7271
O	7241
hneď	7237
celý	7236
svete	7229
spoločnosti	7196
mieste	7180
musíme	7153
znamená	7110
kurva	7108
žilo	7101
hviezdna	7085
deti	7062
robiť	7056
vek	7037
jedna	7023
budeš	6978
území	6978
zdanlivá	6977
Česku	6977
vôbec	6963
súčasťou	6920
storočí	6910
Do	6892
rýchlo	6814
Bratislave	6769
mnou	6763
takmer	6734
strany	6718
Gmina	6695
pár	6695
galaxia	6691
K	6667
môžeš	6651
mne	6635
žiadne	6627
iných	6606
nikto	6606
potok	6606
seba	6605
the	6603
von	6591
tebou	6588
systém	6584
takto	6527
d	6523
nech	6520
nové	6447
veľké	6445
album	6433
robíš	6429
ňom	6424
skupina	6397
daj	6392
septembra	6389
opäť	6367
C	6362
smerom	6347
veľký	6309
et	6301
Ako	6287
také	6285
choď	6259
ona	6255
priemerný	6237
začiatku	6229
viete	6226
práce	6219
ďalších	6176
Vo	6154
vážne	6154
r	6144
prišiel	6138
školy	6132
strane	6128
túto	6128
čím	6125
musíš	6124
skôr	6115
urobiť	6079
predtým	6072
svetovej	6072
jedného	6060
vtedy	6051
dal	6048
problém	6031
táto	6019
deje	5993
nebol	5983
prípade	5975
prepáčte	5971
Toto	5963
syn	5945
začala	5936
vlastne	5917
prvé	5902
číslo	5900
októbra	5858
budeme	5854
prvej	5851
prepáč	5841
môžeme	5839
názvom	5839
predovšetkým	5829
chce	5797
používa	5792
lepšie	5786
dokonca	5780
kam	5778
povedz	5745
príliš	5744
noc	5740
obyvateľstva	5730
pravdepodobne	5727
Za	5724
jedno	5702
vidieť	5689
prítok	5671
vlády	5663
tých	5662
slovenský	5653
známy	5647
dlho	5641
budú	5637
jednu	5590
marca	5588
výške	5588
mája	5568
Ján	5553
tvoja	5544
vec	5544
začali	5530
priemerom	5502
vedieť	5499
peniaze	5497
videl	5489
apríla	5478
krajiny	5474
pomocou	5472
samozrejme	5469
planétka	5439
nejaké	5432
priamo	5430
rôznych	5430
aspoň	5426
hovorí	5426
stala	5426
dobe	5413
kráľa	5408
Slovenska	5385
nechcem	5372
krajine	5349
troch	5330
jednej	5328
niektorých	5325
množstvo	5318
Medzi	5315
človek	5267
počkaj	5266
III	5261
pravdu	5227
Okrem	5222
Banskej	5205
la	5202
ha	5199
Pre	5174
rada	5167
júna	5132
taký	5130
nový	5123
myslel	5094
augusta	5085
nemám	5057
idem	5043
spoločnosť	5030
povedala	5014
dostať	5011
novembra	5006
preč	4990
základe	4982
Keď	4969
júla	4964
územie	4944
prácu	4933
pamiatok	4930
zatiaľ	4924
decembra	4921
mama	4902
dní	4884
metrov	4863
malo	4841
ktorým	4829
